price,price_per_sm,date_added,number_of_rooms,area,floor_on,floors_total,district,street
330,8.05,2021-03-11 14:46:48.179705,1,41.0,3,4,Jeruzalė, Mykolo Marcinkevičiaus g.
350,10.0,2021-03-22 06:46:48.179705,2,35.0,5,7,Pašilaičiai, Pavilnionių g.
280,6.83,2021-03-22 06:46:48.179705,1,41.0,5,5,Fabijoniškės, Fabijoniškių g.
400,14.04,2021-03-22 05:46:48.179705,1,28.5,3,7,Šnipiškės, Linkmenų g.
270,14.21,2021-03-22 05:46:48.179705,1,19.0,3,3,Šnipiškės, A. Juozapavičiaus g.
280,6.83,2021-03-21 20:46:48.179705,1,41.0,2,5,Fabijoniškės, Fabijoniškių g.
390,11.82,2021-03-21 19:46:48.179705,2,33.0,2,2,Naujamiestis, Naugarduko g.
300,9.38,2021-03-21 18:46:48.179705,1,32.0,5,13,Fabijoniškės, L. Giros g.
190,7.6,2021-03-21 18:46:48.179705,1,25.0,6,9,Naujamiestis, Savanorių pr.
230,14.38,2021-03-21 17:46:48.179705,1,16.0,5,5,Naujamiestis, Geležinio Vilko g.
360,12.0,2021-03-21 16:46:48.179705,1,30.0,5,9,Antakalnis, P. Vileišio g.
320,15.24,2021-03-21 15:46:48.179705,1,21.0,2,3,Baltupiai, Kalvarijų g.
320,15.24,2021-03-21 15:46:48.179705,1,21.0,2,3,Žirmūnai, Kalvarijų g.
310,18.0,2021-03-21 14:46:48.179705,1,17.22,4,5,Antakalnis, Bistryčios g.
230,6.47,2021-03-21 14:46:48.179705,1,35.55,1,5,Žemieji Paneriai, Vaduvos g.
350,12.07,2021-03-21 14:46:48.179705,1,29.0,3,5,Naujamiestis, Švitrigailos g.
350,7.0,2021-03-21 14:46:48.179705,2,50.0,3,9,Pašilaičiai, Medeinos g.
360,6.1,2021-03-21 14:46:48.179705,2,59.0,5,6,Pašilaičiai, Laisvės pr.
299,16.61,2021-03-21 14:46:48.179705,1,18.0,1,1,Lazdynai, Architektų g.
270,5.29,2021-03-21 14:46:48.179705,2,51.0,3,9,Šeškinė, Ozo g.
360,12.0,2021-03-21 14:46:48.179705,1,30.0,3,3,Senamiestis, Liepkalnio g.
350,7.0,2021-03-21 14:46:48.179705,2,50.0,2,5,Naujamiestis, Savanorių pr.
300,8.11,2021-03-21 14:46:48.179705,1,37.0,0,5,Naujamiestis, A. Goštauto g.
300,15.0,2021-03-21 14:46:48.179705,1,20.0,2,5,Naujamiestis, Kedrų g.
290,14.5,2021-03-22 08:46:48.179705,1,20.0,2,5,Naujamiestis, Kedrų g.
250,16.67,2021-03-21 14:46:48.179705,1,15.0,1,5,Naujamiestis, Kedrų g.
220,15.71,2021-03-21 14:46:48.179705,1,14.0,1,5,Naujamiestis, Kedrų g.
250,10.0,2021-03-21 14:46:48.179705,1,25.0,1,1,Užupis, Baltasis skg.
300,6.98,2021-03-21 14:46:48.179705,2,43.0,1,4,Naujininkai, Pelesos g.
310,9.69,2021-03-21 14:46:48.179705,1,32.0,9,9,Karoliniškės, Laisvės pr.
340,10.63,2021-03-21 14:46:48.179705,1,32.0,2,5,Naujamiestis, Birželio 23-iosios g.
390,9.3,2021-03-21 14:46:48.179705,1,41.93,6,9,Pašilaičiai, Perkūnkiemio g.
370,12.33,2021-03-21 14:46:48.179705,1,30.0,2,3,Senamiestis, Arklių g.
250,12.5,2021-03-21 14:46:48.179705,1,20.0,4,4,Naujoji Vilnia, Pramonės g.
250,13.89,2021-03-21 14:46:48.179705,1,18.0,2,5,Žvėrynas, Geležinio Vilko g.
180,5.14,2021-03-21 14:46:48.179705,1,35.0,2,2,Antakalnis, Saulėtekio al.
280,8.0,2021-03-21 14:46:48.179705,1,35.0,1,5,Fabijoniškės, Salomėjos Nėries g.
360,11.61,2021-03-21 14:46:48.179705,1,31.0,3,7,Pilaitė, M. Mažvydo g.
390,15.0,2021-03-20 14:46:48.179705,1,26.0,2,5,Pašilaičiai, Budiniškių g.
300,10.71,2021-03-20 14:46:48.179705,2,28.0,1,2,Lazdynai, Pakalnučių g.
199,6.63,2021-03-20 14:46:48.179705,1,30.0,1,2,Antakalnis, Kalvarijų g.
290,7.25,2021-03-20 14:46:48.179705,1,40.0,2,5,Justiniškės, Taikos g.
310,10.33,2021-03-20 14:46:48.179705,1,30.0,1,4,Naujamiestis, Savanorių pr.
400,8.0,2021-03-20 14:46:48.179705,2,50.0,1,5,Šeškinė, Šeškinės g.
400,8.0,2021-03-11 14:46:48.179705,2,50.0,1,5,Šeškinė, Šeškinės g.
225,14.06,2021-03-20 14:46:48.179705,1,16.0,5,5,Saulėtekis, Nemenčinės pl.
370,13.7,2021-03-20 14:46:48.179705,1,27.0,4,5,Justiniškės, Budiniškių g.
150,2.31,2021-03-20 14:46:48.179705,1,65.0,3,5,Antakalnis, Antakalnio g.
250,6.58,2021-03-20 14:46:48.179705,2,38.0,6,12,Markučiai, Subačiaus g.
310,10.33,2021-03-20 14:46:48.179705,1,30.0,1,5,Žirmūnai, Minties g.
320,18.82,2021-03-19 14:46:48.179705,1,17.0,2,3,Naujamiestis, T. Ševčenkos g.
380,7.92,2021-03-19 14:46:48.179705,2,48.0,3,5,Naujamiestis, Savanorių pr.
350,7.61,2021-03-19 14:46:48.179705,2,46.0,3,5,Naujamiestis, Žemaitės g.
380,10.86,2021-03-19 14:46:48.179705,1,35.0,5,9,Antakalnis, V. Grybo g.
399,10.78,2021-03-19 14:46:48.179705,2,37.0,1,4,Senamiestis, Aludarių g.
400,22.22,2021-03-19 14:46:48.179705,1,18.0,5,11,Šnipiškės, Šeimyniškių g.
400,10.0,2021-03-19 14:46:48.179705,1,40.0,5,9,Naujamiestis, Mindaugo g.
330,11.0,2021-03-19 14:46:48.179705,1,30.0,5,5,Naujininkai, Dzūkų g.
290,8.79,2021-03-19 14:46:48.179705,1,33.0,2,5,Šeškinė, Laisvės pr.
350,15.22,2021-03-19 14:46:48.179705,1,23.0,3,4,Naujamiestis, Panerių g.
350,7.0,2021-03-19 14:46:48.179705,2,50.0,5,5,Karoliniškės, Virginijaus Druskio g.
350,10.16,2021-03-19 14:46:48.179705,1,34.45,1,2,Rasos, Alkūnės g.
350,6.6,2021-03-19 14:46:48.179705,2,53.0,4,5,Antakalnis, Antakalnio g.
350,6.6,2021-03-18 14:46:48.179705,2,53.0,4,5,Antakalnis, Antakalnio g.
350,8.33,2021-03-19 14:46:48.179705,1,42.0,8,9,Pašilaičiai, Girulių g.
350,10.94,2021-03-19 14:46:48.179705,1,32.0,3,9,Naujamiestis, Statybininkų g.
295,8.94,2021-03-19 14:46:48.179705,1,33.0,5,5,Karoliniškės, Rolando Jankausko g.
320,10.0,2021-03-19 14:46:48.179705,1,32.0,3,7,Pašilaičiai, Pavilnionių g.
180,8.37,2021-03-19 14:46:48.179705,1,21.5,5,5,Naujoji Vilnia, Pramonės g.
320,6.53,2021-03-19 14:46:48.179705,2,49.0,1,9,Karoliniškės, Virginijaus Druskio g.
300,10.0,2021-03-19 14:46:48.179705,1,30.0,2,5,Grigiškės, Kovo 11-osios g.
270,9.0,2021-03-19 14:46:48.179705,2,30.0,1,1,Naujoji Vilnia, Dūmų g.
300,6.38,2021-03-19 14:46:48.179705,2,47.0,4,5,Karoliniškės, Laisvės pr.
200,10.0,2021-03-19 14:46:48.179705,1,20.0,2,3,Naujoji Vilnia, Dūmų g.
380,16.52,2021-03-19 14:46:48.179705,1,23.0,3,4,Senamiestis, Mindaugo g.
320,9.14,2021-03-19 14:46:48.179705,1,35.0,4,5,Naujoji Vilnia, Gerovės g.
400,8.16,2021-03-19 14:46:48.179705,2,49.0,2,5,Naujamiestis, Naugarduko g.
270,10.0,2021-03-18 14:46:48.179705,1,27.0,9,9,Žirmūnai, Kalvarijų g.
380,8.44,2021-03-18 14:46:48.179705,2,45.0,1,12,Fabijoniškės, Salomėjos Nėries g.
250,7.81,2021-03-18 14:46:48.179705,1,32.0,2,9,Žvėrynas, Saltoniškių g.
350,6.6,2021-03-18 14:46:48.179705,2,53.0,4,5,Antakalnis, Antakalnio g.
400,8.16,2021-03-18 14:46:48.179705,2,49.0,3,5,Naujamiestis, Naugarduko g.
350,12.07,2021-03-18 14:46:48.179705,1,29.0,3,9,Naujamiestis, Statybininkų g.
280,8.48,2021-03-18 14:46:48.179705,1,33.0,1,5,Karoliniškės, Vido Maciulevičiaus g.
